2014-01-01 00:00:00,last year CD sales revenue was higher than digital music revenue
2011-05-01 00:00:00,death of Osama bin Laden
2007-06-29 00:00:00,release of the iPhone
2005-09-29 00:00:00,Hurricane Katrina
2003-11-02 00:00:00,"first episode of ""Arrested Development"""
2003-05-01 00:00:00,"George Bush ""Mission Accomplished"" speech"
2001-09-11 00:00:00,9/11 attacks
1999-04-20 00:00:00,Columbine shooting
1999-03-31 00:00:00,"release of ""The Matrix"""
1998-12-19 00:00:00,impeachment of Clinton
1998-09-04 00:00:00,start of Google
1998-01-01 00:00:00,"end of ""Seinfeld"""
1997-03-10 00:00:00,premiere of Buffy the Vampire Slayer
1997-01-01 00:00:00,"release of ""Harry Potter"""
1996-04-01 00:00:00,arrest of the Unibomber
1996-01-01 00:00:00,"publication of ""Game of Thrones"""
1995-08-24 00:00:00,release of Windows 95
1995-08-09 00:00:00,death of Jerry Garcia
1995-04-19 00:00:00,Oklahoma City bombing
1994-09-22 00:00:00,"start of ""Friends"""
1994-07-06 00:00:00,"release of ""Forrest Gump"""
1994-01-01 00:00:00,"last episode of ""Star Trek TNG"""
1993-01-01 00:00:00,last year cassette sales revenue was higher than CD sales revenue
1992-10-13 00:00:00,"release of ""Reservoir Dogs"""
1991-01-30 00:00:00,"release of ""Nevermind"""
1991-01-01 00:00:00,overturn of apartheid
1989-12-17 00:00:00,"first episode of ""The Simpsons"""
1989-11-17 00:00:00,Little Mermaid
1989-11-09 00:00:00,fall of Berlin Wall
1989-10-17 00:00:00,1989 San Francisco Earthquake
1989-07-31 00:00:00,first Gameboy
1989-07-05 00:00:00,"first episode of ""Seinfeld"""
1989-03-23 00:00:00,Exxon Valdez oil spill
1987-06-01 00:00:00,"movie ""Dirty Dancing"""
1987-06-01 00:00:00,"movie ""Princess Bride"""
1987-01-01 00:00:00,"first episode of ""Star Trek TNG"""
1986-04-26 00:00:00,Chernobyl disaster
1986-01-01 00:00:00,"movie ""Ferris Bueller's Day Off"""
1986-01-01 00:00:00,song Walk Like an Egyptian
1986-01-01 00:00:00,"release of ""You Give Love a Bad Name"" (Bon Jovi)"
1986-01-01 00:00:00,"song ""Mandolin Rain"""
1986-01-01 00:00:00,"movie ""Top Gun"""
1985-09-13 00:00:00,release of the original Super Mario Brothers
1985-01-01 00:00:00,"movie ""The Breakfast Club"""
1985-01-01 00:00:00,"release of ""We Are The World"""
1985-01-01 00:00:00,"release of ""The Goonies"""
1985-01-01 00:00:00,"release of ""Back to the Future"""
1984-01-01 00:00:00,"release of ""Purple Rain"""
1984-01-01 00:00:00,"release of ""The Terminator"""
1984-01-01 00:00:00,"movie ""Ghostbusters"""
1984-01-01 00:00:00,"movie ""Nightmare on Elm Street"""
1984-01-01 00:00:00,"song ""Careless Whisper"""
1984-01-01 00:00:00,"release of ""Born in the USA"""
1984-01-01 00:00:00,"movie ""The Karate Kid"""
